,Device ID,Memory
636,10296,512GB
637,10328,128GB
638,10328,256GB
639,9770,128GB
640,9770,1TB
641,9770,256GB
642,9770,512GB
643,9698,128GB
644,9698,256GB
645,9698,512GB
646,9698,64GB
647,9667,16GB
648,9667,32GB
649,9634,32GB
650,9634,64GB
651,9633,32GB
652,9633,64GB
653,9410,128GB
654,9410,32GB
655,9410,64GB
656,9437,32GB
657,9437,64GB
658,9373,32GB
659,9372,16GB
660,9224,128GB
661,9224,512GB
662,9194,16GB
663,9194,32GB
664,9173,128GB
665,9173,32GB
666,9173,64GB
667,9096,128GB
668,9096,256GB
669,9096,64GB
670,9061,64GB
671,9068,32GB
672,9068,64GB
673,9097,16GB
674,9097,32GB
675,8953,16GB
676,8953,32GB
677,8953,64GB
678,8866,32GB
679,8783,128GB
680,8783,64GB
681,8782,64GB
682,8892,16GB
683,8892,32GB
684,8862,32GB
685,8808,64GB
686,8784,64GB
687,8811,16GB
688,8811,32GB
689,8814,32GB
690,8810,32GB
691,8749,32GB
692,8801,16GB
693,8711,
694,8681,16GB
695,8681,32GB
696,8579,16GB
697,8579,32GB
698,8550,32GB
699,8543,32GB
700,8502,128GB
701,8502,256GB
702,8502,64GB
703,8509,128GB
704,8509,32GB
705,8509,64GB
706,8503,8GB
707,8493,32GB
708,8467,16GB
709,8425,32GB
710,8384,64GB
711,8370,32GB
712,8271,4GB
713,8218,32GB
714,8218,64GB
715,8207,16GB
716,8207,32GB
717,8206,16GB
718,8206,32GB
719,8197,32GB
720,8197,64GB
721,8156,16GB
722,8156,32GB
723,8160,
724,8130,128GB
725,8130,32GB
726,8130,64GB
727,8129,128GB
728,8129,256GB
729,8129,64GB
730,8106,32GB
731,8106,64GB
732,8111,32GB
733,8262,8GB
734,8097,8GB
735,8095,16GB
736,8095,32GB
737,8045,16GB
738,8048,8GB
739,7866,16GB
740,7689,4GB
741,7690,4GB
742,7688,4GB
743,7733,16GB
744,7733,32GB
745,7577,128GB
746,7577,32GB
747,7577,64GB
748,8474,16GB
749,8474,8GB
750,8465,16GB
751,8465,32GB
