,Device ID,Body Dims(mm),Body Hight(mm),Body Width(mm),Body Depth(mm),Body Dims(inch),Body Hight(inch),Body Width(inch),Body Depth(inch),Body Weight(g),Body Weight(oz)
701,8731,157.5 x 78.6 x 9.1,157.5,78.6,9.1,6.20 x 3.09 x 0.36,6.2,3.09,0.36,187.0,6.6
702,8713,144.9 x 72.9 x 10.4,144.9,72.9,10.4,5.70 x 2.87 x 0.41,5.7,2.87,0.41,143.0,5.04
703,8709,166.2 x 83.9 x 9.5,166.2,83.9,9.5,6.54 x 3.30 x 0.37,6.54,3.3,0.37,196.0,6.91
704,8670,153 x 76.6 x 10.5,153.0,76.6,10.5,6.02 x 3.02 x 0.41,6.02,3.02,0.41,191.0,6.74
705,8653,142.7 x 72.9 x 8.8,142.7,72.9,8.8,5.62 x 2.87 x 0.35,5.62,2.87,0.35,155.0,5.47
706,8621,142 x 69.6 x 8.7,142.0,69.6,8.7,5.59 x 2.74 x 0.34,5.59,2.74,0.34,152.0,5.36
707,8555,127.1 x 64.3 x 11.5,127.1,64.3,11.5,5.00 x 2.53 x 0.45,5.0,2.53,0.45,135.0,4.76
708,8553,126.6 x 66.3 x 11.4,126.6,66.3,11.4,4.98 x 2.61 x 0.45,4.98,2.61,0.45,127.0,4.48
709,8544,154 x 76.6 x 9.2,154.0,76.6,9.2,6.06 x 3.02 x 0.36,6.06,3.02,0.36,175.0,6.17
710,8541,125.2 x 62 x 8.5,125.2,62.0,8.5,4.93 x 2.44 x 0.33,4.93,2.44,0.33,119.0,4.2
711,8557,145 x 72.1 x 7.8,145.0,72.1,7.8,5.71 x 2.84 x 0.31,5.71,2.84,0.31,154.0,5.43
712,8556,145.7 x 72.8 x 11,145.7,72.8,11.0,5.74 x 2.87 x 0.43,5.74,2.87,0.43,190.0,6.7
713,8534,144.9 x 72.1 x 9.4,144.9,72.1,9.4,5.70 x 2.84 x 0.37,5.7,2.84,0.37,171.0,6.03
714,8533,145.8 x 72.9 x 9.1,145.8,72.9,9.1,5.74 x 2.87 x 0.36,5.74,2.87,0.36,165.0,5.82
715,8527,142.8 x 73 x 9.6,142.8,73.0,9.6,5.62 x 2.87 x 0.38,5.62,2.87,0.38,130.0,4.59
716,8524,153.5 x 79.8 x 13.8,153.5,79.8,13.8,6.04 x 3.14 x 0.54,6.04,3.14,0.54,181.0,6.38
717,8525,130 x 69 x 13.9,130.0,69.0,13.9,5.12 x 2.72 x 0.55,5.12,2.72,0.55,141.0,4.97
718,8526,129 x 58.7 x 14.4,129.0,58.7,14.4,5.08 x 2.31 x 0.57,5.08,2.31,0.57,139.0,4.9
719,8496,154.3 x 77.5 x 9.6,154.3,77.5,9.6,6.07 x 3.05 x 0.38,6.07,3.05,0.38,172.0,6.07
720,8462,153.8 x 75.6 x 8.5,153.8,75.6,8.5,6.06 x 2.98 x 0.33,6.06,2.98,0.33,169.0,5.96
721,8461,146 x 73.6 x 10.5,146.0,73.6,10.5,5.75 x 2.90 x 0.41,5.75,2.9,0.41,141.0,4.97
722,8460,154.5 x 77.1 x 8.7,154.5,77.1,8.7,6.08 x 3.04 x 0.34,6.08,3.04,0.34,153.0,5.4
723,8459,123.6 x 61.5 x 10.3,123.6,61.5,10.3,4.87 x 2.42 x 0.41,4.87,2.42,0.41,114.0,4.02
724,8457,155 x 78.1 x 9.4,155.0,78.1,9.4,6.10 x 3.07 x 0.37,6.1,3.07,0.37,168.0,5.93
725,8456,146.3 x 73.7 x 9.8,146.3,73.7,9.8,5.76 x 2.90 x 0.39,5.76,2.9,0.39,157.0,5.54
726,8426,154.3 x 74.9 x 7,154.3,74.9,7.0,6.07 x 2.95 x 0.28,6.07,2.95,0.28,170.0,6.0
727,8427,165.7 x 83.6 x 9.1,165.7,83.6,9.1,6.52 x 3.29 x 0.36,6.52,3.29,0.36,200.0,7.05
728,8428,148.4 x 73.9 x 8.1,148.4,73.9,8.1,5.84 x 2.91 x 0.32,5.84,2.91,0.32,146.0,5.15
729,8429,148.7 x 77.4 x 8.9,148.7,77.4,8.9,5.85 x 3.05 x 0.35,5.85,3.05,0.35,189.0,6.67
730,8349,148 x 72.4 x 9.5,148.0,72.4,9.5,5.83 x 2.85 x 0.37,5.83,2.85,0.37,166.0,5.86
731,8338,154.5 x 75.6 x 8.3,154.5,75.6,8.3,6.08 x 2.98 x 0.33,6.08,2.98,0.33,166.0,5.86
732,8296,154.3 x 74.9 x 7,154.3,74.9,7.0,6.07 x 2.95 x 0.28,6.07,2.95,0.28,147.2,5.19
733,8322,145 x 72 x 9.4,145.0,72.0,9.4,5.71 x 2.83 x 0.37,5.71,2.83,0.37,145.0,5.11
734,8323,145 x 72 x 9.4,145.0,72.0,9.4,5.71 x 2.83 x 0.37,5.71,2.83,0.37,145.0,5.11
735,8324,145 x 72.5 x 8.5,145.0,72.5,8.5,5.71 x 2.85 x 0.33,5.71,2.85,0.33,155.0,5.47
736,8256,144.4 x 72.5 x 8.5,144.4,72.5,8.5,5.69 x 2.85 x 0.33,5.69,2.85,0.33,152.0,5.36
737,8255,144.4 x 72.5 x 8.5,144.4,72.5,8.5,5.69 x 2.85 x 0.33,5.69,2.85,0.33,143.0,5.04
738,8252,147.5 x 71.5 x 12.7,147.5,71.5,12.7,5.81 x 2.81 x 0.5,5.81,2.81,0.5,184.0,6.49
739,8251,144.5 x 71.5 x 12,144.5,71.5,12.0,5.69 x 2.81 x 0.47,5.69,2.81,0.47,162.0,5.71
740,8253,146.5 x 73.2 x 10.5,146.5,73.2,10.5,5.77 x 2.88 x 0.41,5.77,2.88,0.41,136.0,4.8
741,8254,146.1 x 73.8 x 7.5,146.1,73.8,7.5,5.75 x 2.91 x 0.30,5.75,2.91,0.3,169.0,5.96
742,8171,143.5 x 72 x 8.7,143.5,72.0,8.7,5.65 x 2.83 x 0.34,5.65,2.83,0.34,142.0,5.01
743,8188,155.2 x 79 x 9.6,155.2,79.0,9.6,6.11 x 3.11 x 0.38,6.11,3.11,0.38,188.0,6.63
744,8189,131.5 x 63.8 x 11.3,131.5,63.8,11.3,5.18 x 2.51 x 0.44,5.18,2.51,0.44,142.0,5.01
745,8190,132.8 x 66.8 x 10.5,132.8,66.8,10.5,5.23 x 2.63 x 0.41,5.23,2.63,0.41,134.0,4.73
746,8191,143 x 73.8 x 9.8,143.0,73.8,9.8,5.63 x 2.91 x 0.39,5.63,2.91,0.39,151.0,5.33
747,8187,160.9 x 81.2 x 8.4,160.9,81.2,8.4,6.33 x 3.20 x 0.33,6.33,3.2,0.33,208.0,7.34
748,8153,188 x 107.8 x 9.9,188.0,107.8,9.9,7.40 x 4.24 x 0.39,7.4,4.24,0.39,,
749,8152,143.2 x 71.2 x 8.4,143.2,71.2,8.4,5.64 x 2.80 x 0.33,5.64,2.8,0.33,141.0,4.97
750,8151,127 x 64.5 x 11.7,127.0,64.5,11.7,5.0 x 2.54 x 0.46,5.0,2.54,0.46,123.0,4.34
751,8118,144.4 x 72.5 x 8.5,144.4,72.5,8.5,5.69 x 2.85 x 0.33,5.69,2.85,0.33,153.0,5.4
752,8117,162 x 84.5 x 8.5,162.0,84.5,8.5,6.38 x 3.33 x 0.33,6.38,3.33,0.33,183.0,6.46
753,8116,143 x 73.8 x 9.8,143.0,73.8,9.8,5.63 x 2.91 x 0.39,5.63,2.91,0.39,151.0,5.33
754,8119,146 x 73.6 x 9.9,146.0,73.6,9.9,5.75 x 2.90 x 0.39,5.75,2.9,0.39,144.0,5.08
755,8115,131.5 x 63.8 x 11.3,131.5,63.8,11.3,5.18 x 2.51 x 0.44,5.18,2.51,0.44,136.0,4.8
756,8030,133.7 x 65.8 x 10.8,133.7,65.8,10.8,5.26 x 2.59 x 0.43,5.26,2.59,0.43,122.0,4.3
757,8029,145 x 73.1 x 9.7,145.0,73.1,9.7,5.71 x 2.88 x 0.38,5.71,2.88,0.38,174.0,6.14
758,8028,145 x 73.4 x 9.8,145.0,73.4,9.8,5.71 x 2.89 x 0.39,5.71,2.89,0.39,172.0,6.07
759,8003,133.7 x 65.8 x 10.8,133.7,65.8,10.8,5.26 x 2.59 x 0.43,5.26,2.59,0.43,122.0,4.3
760,7990,142.4 x 72 x 9.5,142.4,72.0,9.5,5.61 x 2.83 x 0.37,5.61,2.83,0.37,150.0,5.29
761,7988,143.5 x 71.2 x 8.7,143.5,71.2,8.7,5.65 x 2.80 x 0.34,5.65,2.8,0.34,175.0,6.17
762,7989,141.5 x 71 x 7.6,141.5,71.0,7.6,5.57 x 2.80 x 0.30,5.57,2.8,0.3,147.0,5.19
763,7987,158.8 x 77.7 x 10.2,158.8,77.7,10.2,6.25 x 3.06 x 0.40,6.25,3.06,0.4,190.0,6.7
764,7986,143 x 69.9 x 8.5,143.0,69.9,8.5,5.63 x 2.75 x 0.33,5.63,2.75,0.33,183.0,6.46
765,7978,155.4 x 79.3 x 8.5,155.4,79.3,8.5,6.12 x 3.12 x 0.33,6.12,3.12,0.33,168.0,5.93
766,7974,153.8 x 77.4 x 9.1,153.8,77.4,9.1,6.06 x 3.05 x 0.36,6.06,3.05,0.36,183.0,6.46
767,7924,143.5 x 71 x 9.6,143.5,71.0,9.6,5.65 x 2.80 x 0.38,5.65,2.8,0.38,190.0,6.7
768,7923,152.6 x 77.9 x 8.3,152.6,77.9,8.3,6.01 x 3.07 x 0.33,6.01,3.07,0.33,162.0,5.71
769,7922,143.3 x 71.5 x 8.4,143.3,71.5,8.4,5.64 x 2.81 x 0.33,5.64,2.81,0.33,133.0,4.69
770,7892,143.3 x 72 x 8.9,143.3,72.0,8.9,5.64 x 2.83 x 0.35,5.64,2.83,0.35,150.0,5.29
771,7867,144.7 x 71.2 x 10.2,144.7,71.2,10.2,5.70 x 2.80 x 0.40,5.7,2.8,0.4,176.0,6.21
772,7858,155.3 x 76.7 x 7.5,155.3,76.7,7.5,6.11 x 3.02 x 0.30,6.11,3.02,0.3,154.0,5.43
773,7857,151.9 x 74.6 x 6.9,151.9,74.6,6.9,5.98 x 2.94 x 0.27,5.98,2.94,0.27,,5.04
774,7820,149.5 x 73.6 x 8.6,149.5,73.6,8.6,5.89 x 2.90 x 0.34,5.89,2.9,0.34,141.0,4.97
775,7775,155.5 x 78.8 x 9.6,155.5,78.8,9.6,6.12 x 3.10 x 0.38,6.12,3.1,0.38,154.0,5.43
776,7774,142.5 x 71 x 9.3,142.5,71.0,9.3,5.61 x 2.80 x 0.37,5.61,2.8,0.37,157.0,5.54
777,7726,190 x 99.8 x 8.5,190.0,99.8,8.5,7.48 x 3.93 x 0.33,7.48,3.93,0.33,266.0,9.38
778,7725,126 x 64 x 11,126.0,64.0,11.0,4.96 x 2.52 x 0.43,4.96,2.52,0.43,122.0,4.3
