,Device ID,RAM
599,6918,2GB
600,6918,4GB
601,6897,2GB
602,6813,1GB
603,6751,1GB
604,6737,1GB
605,6630,2GB
606,6629,2GB
607,6429,1GB
608,6429,2GB
609,6428,1GB
610,6414,2GB
611,6413,1GB
612,6412,1GB
613,6411,1GB
614,6411,2GB
615,6747,1GB
616,6410,1GB
617,6407,2GB
618,6409,1GB
619,6394,1GB
620,6519,2GB
621,6238,2GB
622,6120,2GB
623,5993,1GB
624,6853,2GB
625,5953,2GB
626,7160,2GB
627,5952,2GB
628,5951,
629,7158,
630,5982,
631,5891,1GB
632,5863,2GB
633,5706,2GB
634,5676,1GB
635,5675,1GB
636,5674,1GB
637,5600,2GB
638,5494,2GB
639,5493,2GB
640,5495,2GB
641,5879,1GB
642,5492,1GB
643,5329,1GB
644,5328,2GB
645,5331,1GB
646,5249,1GB
647,5091,1GB
648,5083,2GB
649,5017,2GB
650,4850,1GB
651,4605,1GB
652,4604,1GB
653,5337,1GB
654,4596,1GB
655,4606,1GB
656,4422,1GB
657,4421,1GB
658,4322,1GB
659,3965,1GB
660,3936,1GB
661,3696,
662,12603,8GB
663,12460,6GB
664,12459,6GB
665,12458,4GB
666,12457,4GB
667,12456,2GB
668,12153,4GB
669,12110,4GB
670,12102,2GB
671,11830,2GB
672,11829,1GB
673,11828,3GB
674,11757,8GB
675,11716,1GB
676,11715,4GB
677,11673,1GB
678,11672,1GB
679,11643,4GB
680,11623,2GB
681,11536,4GB
682,11509,3GB
683,11483,8GB
684,11398,4GB
685,11376,8GB
686,11369,4GB
687,11368,3GB
688,11348,2GB
689,11319,1GB
690,11318,1GB
691,11273,1GB
692,11273,2GB
693,11264,4GB
694,11258,3GB
695,11096,2GB
696,11095,1GB
697,11094,1GB
698,11073,6GB
699,10973,1GB
700,10934,3GB
701,10935,1GB
702,10915,2GB
703,10781,4GB
704,10745,3GB
705,10741,1GB
706,10730,3GB
707,10729,1GB
708,10731,1GB
709,10732,2GB
710,10640,2GB
711,10607,2GB
712,10535,1GB
713,10536,1GB
714,10537,1GB
715,10538,1GB
716,10540,1GB
717,10539,1GB
718,10470,2GB
719,10453,2GB
720,10403,4GB
721,10359,1GB
722,10313,4GB
723,10312,3GB
724,10160,1GB
725,10107,1GB
726,10106,1GB
727,10105,1GB
