,Device ID,Sensor
225,5335,compass
226,5681,accelerometer
227,5334,accelerometer
228,5334,proximity
229,5334,compass
230,5318,accelerometer
231,5318,proximity
232,5318,compass
233,5319,accelerometer
234,5319,proximity
235,5296,accelerometer
236,5296,proximity
237,5296,compass
238,5332,accelerometer
239,5332,proximity
240,5332,compass
241,5236,
242,5235,
243,5234,
244,5233,
245,5232,
246,5231,accelerometer
247,5231,proximity
248,5231,compass
249,5230,accelerometer
250,5230,proximity
251,5230,compass
252,5229,accelerometer
253,5229,proximity
254,5228,accelerometer
255,5228,proximity
256,5242,accelerometer
257,5242,proximity
258,5227,
259,5226,accelerometer
260,5226,proximity
261,5226,compass
262,5225,accelerometer
263,5225,proximity
264,5225,compass
265,5218,accelerometer
266,5218,proximity
267,5218,compass
268,5139,accelerometer
269,5139,proximity
270,5139,compass
271,5110,accelerometer
272,5110,proximity
273,5110,compass
274,5165,accelerometer
275,5165,proximity
276,5165,compass
277,5866,accelerometer
278,5103,accelerometer
279,5103,proximity
280,5080,accelerometer
281,5080,proximity
282,4846,accelerometer
283,4846,proximity
284,4846,compass
285,4845,accelerometer
286,4845,proximity
287,4844,
288,4843,
289,4842,
290,4780,accelerometer
291,4780,proximity
292,4733,accelerometer
293,4733,proximity
294,4733,compass
295,4732,accelerometer
296,4732,proximity
297,4732,compass
298,4731,
299,4730,
300,4920,
301,4729,
302,4728,
303,4727,
304,4726,
305,4725,
306,4724,
307,4723,
308,4722,
309,4721,
310,4720,
311,4663,accelerometer
312,4663,proximity
313,4663,compass
314,4549,accelerometer
315,4549,proximity
316,4549,compass
317,4922,
318,4321,accelerometer
319,4321,compass
320,4308,
321,4661,accelerometer
322,4661,proximity
323,4661,compass
324,3799,accelerometer
325,3799,proximity
326,3799,compass
327,3798,accelerometer
328,3798,proximity
329,3798,compass
330,4629,accelerometer
331,4629,proximity
332,4629,compass
333,3797,accelerometer
334,3797,proximity
335,3797,compass
336,3796,
337,3795,
338,3822,accelerometer
339,3822,compass
340,4659,accelerometer
341,4659,proximity
342,4659,compass
343,4528,accelerometer
344,4528,proximity
345,4528,compass
346,4104,accelerometer
347,4104,compass
348,3793,accelerometer
349,3793,compass
350,3794,
351,3800,accelerometer
352,4628,
353,4103,
354,3824,
355,3801,
356,3802,
357,3803,
358,3804,
359,3805,
360,3806,
361,3807,
362,3808,
363,3809,
364,3810,
365,3811,
366,3812,
367,3813,
368,3814,
369,3815,
370,3816,
371,3817,
372,3818,
373,3819,
374,3820,
375,3821,
376,3823,
377,3407,
378,3186,
379,3184,
380,3182,
381,3181,
382,3178,
383,3179,
384,3176,
385,3173,accelerometer
386,3188,
387,3171,
388,3175,
389,3170,
390,3172,
391,3168,accelerometer
392,3168,compass
393,3174,
394,3187,
395,3185,
396,3183,
397,3180,
398,3177,
399,12548,Face-ID
400,12548,accelerometer
401,12548,gyro
402,12548,proximity
403,12548,compass
404,12548,barometer
405,12557,Face-ID
406,12557,accelerometer
407,12557,gyro
408,12557,proximity
409,12557,compass
410,12557,barometer
411,12558,Face-ID
412,12558,accelerometer
413,12558,gyro
414,12558,proximity
415,12558,compass
416,12558,barometer
417,12559,Face-ID
418,12559,accelerometer
419,12559,gyro
420,12559,proximity
421,12559,compass
422,12559,barometer
423,12560,accelerometer
424,12560,gyro
425,12560,heart rate
426,12560,barometer
427,12560,altimeter
428,12560,compass
429,12560,SpO2
430,12560,VO2max
431,12560,thermometer
432,12560,thermometer
433,12561,accelerometer
434,12561,gyro
435,12561,heart rate
436,12561,barometer
437,12561,altimeter
438,12561,compass
439,12561,SpO2
440,12561,VO2max
441,12561,thermometer
442,12562,accelerometer
443,12562,gyro
444,12562,heart rate
445,12562,barometer
446,12562,altimeter
447,12562,compass
448,12562,SpO2
449,12562,VO2max
450,12562,thermometer
451,11939,Face-ID
452,11939,accelerometer
453,11939,gyro
454,11939,barometer
455,11940,Face-ID
456,11940,accelerometer
457,11940,gyro
458,11940,barometer
459,11941,fingerprint
460,11941,accelerometer
461,11941,gyro
462,11941,compass
463,11941,barometer
464,11773,Face-ID
465,11773,accelerometer
466,11773,gyro
467,11773,proximity
468,11773,compass
469,11773,barometer
470,11860,Face-ID
471,11860,accelerometer
472,11860,gyro
473,11860,proximity
474,11860,compass
475,11860,barometer
476,11862,Face-ID
477,11862,accelerometer
478,11862,gyro
479,11862,proximity
480,11862,compass
481,11862,barometer
482,11861,Face-ID
483,11861,accelerometer
484,11861,gyro
485,11861,proximity
486,11861,compass
487,11861,barometer
488,11827,accelerometer
489,11827,gyro
490,11827,heart rate
491,11827,barometer
492,11827,altimeter
493,11827,compass
494,11827,SpO2
495,11827,VO2max
496,11827,thermometer
497,11827,thermometer
498,11866,accelerometer
499,11866,gyro
500,11866,heart rate
501,11866,barometer
502,11866,altimeter
503,11866,compass
504,11866,SpO2
505,11866,VO2max
506,11866,thermometer
507,11864,accelerometer
508,11864,gyro
509,11864,heart rate
510,11864,barometer
511,11864,altimeter
512,11864,compass
513,11864,SpO2
514,11864,VO2max
515,11864,thermometer
516,11865,accelerometer
517,11865,gyro
518,11865,heart rate
519,11865,barometer
520,11865,altimeter
521,11865,compass
522,11410,fingerprint
523,11410,accelerometer
524,11410,proximity
525,11410,gyro
526,11410,compass
527,11410,barometer
528,11411,fingerprint
529,11411,accelerometer
530,11411,gyro
531,11411,compass
532,11411,barometer
533,11089,Face-ID
534,11089,accelerometer
535,11089,gyro
536,11089,proximity
537,11089,compass
538,11089,barometer
539,11102,Face-ID
540,11102,accelerometer
541,11102,gyro
542,11102,proximity
543,11102,compass
544,11102,barometer
545,11103,Face-ID
546,11103,accelerometer
547,11103,gyro
548,11103,proximity
549,11103,compass
550,11103,barometer
551,11104,Face-ID
552,11104,accelerometer
553,11104,gyro
554,11104,proximity
555,11104,compass
556,11104,barometer
557,11105,fingerprint
558,11105,accelerometer
559,11105,gyro
560,11105,compass
561,11105,barometer
562,11106,fingerprint
563,11106,accelerometer
564,11106,gyro
565,11106,compass
566,11106,barometer
567,11147,accelerometer
568,11147,gyro
569,11147,heart rate
570,11147,barometer
571,11147,altimeter
572,11147,compass
573,11147,SpO2
574,11147,VO2max
575,11146,accelerometer
576,11146,gyro
577,11146,heart rate
578,11146,barometer
579,11146,altimeter
580,11146,compass
581,11146,SpO2
582,11146,VO2max
583,11107,accelerometer
584,11107,gyro
585,11107,heart rate
586,11107,barometer
587,11107,altimeter
588,11107,compass
589,11107,SpO2
590,11107,VO2max
591,10864,Face-ID
592,10864,accelerometer
593,10864,gyro
594,10864,barometer
595,10865,Face-ID
596,10865,accelerometer
597,10865,gyro
598,10865,barometer
599,10237,Face-ID
600,10237,accelerometer
601,10237,gyro
602,10237,proximity
603,10237,compass
604,10237,barometer
605,10508,Face-ID
606,10508,accelerometer
607,10508,gyro
608,10508,proximity
609,10508,compass
610,10508,barometer
611,10509,Face-ID
612,10509,accelerometer
613,10509,gyro
614,10509,proximity
615,10509,compass
616,10509,barometer
617,10510,Face-ID
618,10510,accelerometer
619,10510,gyro
620,10510,proximity
621,10510,compass
622,10510,barometer
623,10444,fingerprint
624,10444,accelerometer
625,10444,gyro
626,10444,compass
627,10444,barometer
628,10445,fingerprint
629,10445,accelerometer
630,10445,gyro
631,10445,compass
632,10445,barometer
633,10446,accelerometer
634,10446,gyro
635,10446,heart rate
636,10446,barometer
637,10446,altimeter
638,10446,compass
639,10447,accelerometer
640,10447,gyro
641,10447,heart rate
642,10447,barometer
643,10447,altimeter
644,10447,compass
645,10447,SpO2
646,10447,VO2max
647,10448,accelerometer
648,10448,gyro
649,10448,heart rate
650,10448,barometer
651,10448,altimeter
652,10448,compass
653,10448,SpO2
654,10448,VO2max
655,10449,accelerometer
656,10449,gyro
657,10449,heart rate
658,10449,barometer
659,10449,altimeter
660,10449,compass
661,10449,SpO2
662,10449,VO2max
663,10170,fingerprint
664,10170,accelerometer
665,10170,proximity
666,10170,gyro
667,10170,compass
668,10170,barometer
669,10136,Face-ID
670,10136,accelerometer
671,10136,gyro
672,10136,proximity
673,10136,barometer
674,10137,Face-ID
675,10137,accelerometer
676,10137,gyro
677,10137,proximity
678,10137,barometer
679,9846,Face-ID
680,9846,accelerometer
681,9846,gyro
682,9846,proximity
683,9846,compass
684,9846,barometer
685,9847,Face-ID
686,9847,accelerometer
687,9847,gyro
688,9847,proximity
689,9847,compass
690,9847,barometer
691,9848,Face-ID
692,9848,accelerometer
693,9848,gyro
694,9848,proximity
695,9848,compass
696,9848,barometer
697,9857,fingerprint
698,9857,accelerometer
699,9857,gyro
700,9857,compass
701,9857,barometer
702,9860,accelerometer
703,9860,gyro
704,9860,heart rate
705,9860,barometer
706,9860,compass
707,9859,accelerometer
708,9859,gyro
709,9859,heart rate
710,9859,barometer
711,9859,compass
712,9858,accelerometer
713,9858,gyro
714,9858,heart rate
715,9858,barometer
716,9858,compass
717,9638,fingerprint
718,9638,accelerometer
719,9638,gyro
720,9638,compass
721,9638,barometer
722,9637,fingerprint
723,9637,accelerometer
724,9637,gyro
725,9637,compass
726,9637,barometer
727,9387,Face-ID
728,9387,accelerometer
729,9387,gyro
730,9387,proximity
731,9387,barometer
732,9386,Face-ID
733,9386,accelerometer
734,9386,gyro
735,9386,proximity
736,9386,barometer
737,9319,Face-ID
738,9319,accelerometer
739,9319,gyro
740,9319,proximity
741,9319,compass
742,9319,barometer
743,9318,Face-ID
744,9318,accelerometer
745,9318,gyro
746,9318,proximity
747,9318,compass
748,9318,barometer
749,9320,Face-ID
750,9320,accelerometer
751,9320,gyro
752,9320,proximity
753,9320,compass
754,9320,barometer
755,9321,accelerometer
756,9321,gyro
757,9321,heart rate
758,9321,barometer
759,9322,accelerometer
760,9322,gyro
761,9322,heart rate
762,9322,barometer
763,9142,fingerprint
764,9142,accelerometer
765,9142,gyro
766,9142,compass
767,9142,barometer
768,8858,Face-ID
769,8858,accelerometer
770,8858,gyro
771,8858,proximity
772,8858,compass
773,8858,barometer
774,8131,fingerprint
775,8131,accelerometer
776,8131,gyro
777,8131,proximity
778,8131,compass
779,8131,barometer
780,8573,fingerprint
781,8573,accelerometer
782,8573,gyro
783,8573,proximity
784,8573,compass
785,8573,barometer
786,8861,accelerometer
787,8861,gyro
788,8861,heart rate
789,8861,barometer
790,8860,accelerometer
791,8860,gyro
792,8860,heart rate
793,8860,barometer
794,8859,accelerometer
795,8859,gyro
796,8859,heart rate
797,8859,barometer
798,8717,fingerprint
799,8717,accelerometer
800,8717,gyro
801,8717,compass
802,8717,barometer
803,8716,fingerprint
804,8716,accelerometer
805,8716,gyro
806,8716,compass
807,8716,barometer
808,8620,fingerprint
809,8620,accelerometer
810,8620,gyro
811,8620,compass
812,8620,barometer
813,8331,accelerometer
814,8331,gyro
815,8331,heart rate
816,8332,accelerometer
817,8332,gyro
818,8332,heart rate
819,8329,accelerometer
820,8329,gyro
821,8329,heart rate
822,8330,accelerometer
823,8330,gyro
824,8330,heart rate
825,8328,accelerometer
826,8328,gyro
827,8328,heart rate
828,8334,accelerometer
829,8334,gyro
830,8334,heart rate
831,8327,accelerometer
832,8327,gyro
833,8327,heart rate
834,8333,accelerometer
835,8333,gyro
836,8333,heart rate
837,8065,fingerprint
838,8065,accelerometer
839,8065,gyro
840,8065,proximity
841,8065,compass
842,8065,barometer
843,8064,fingerprint
844,8064,accelerometer
845,8064,gyro
846,8064,proximity
847,8064,compass
848,8064,barometer
849,7984,fingerprint
850,7984,accelerometer
851,7984,gyro
852,7984,compass
853,7984,barometer
854,7969,fingerprint
855,7969,accelerometer
856,7969,gyro
857,7969,proximity
858,7969,compass
859,7243,fingerprint
860,7243,accelerometer
861,7243,gyro
862,7243,proximity
863,7243,compass
864,7243,barometer
865,7242,fingerprint
866,7242,accelerometer
867,7242,gyro
868,7242,proximity
869,7242,compass
870,7242,barometer
871,7562,fingerprint
872,7562,accelerometer
873,7562,gyro
874,7562,compass
875,7562,barometer
876,7561,fingerprint
877,7561,accelerometer
878,7561,gyro
879,7561,compass
880,7561,barometer
881,7698,accelerometer
882,7698,gyro
883,7698,heart rate
884,7697,accelerometer
885,7697,gyro
886,7697,heart rate
887,7696,accelerometer
888,7696,gyro
889,7696,heart rate
890,7695,accelerometer
891,7695,gyro
892,7695,heart rate
893,7694,accelerometer
894,7694,gyro
895,7694,heart rate
896,7693,accelerometer
897,7693,gyro
898,7693,heart rate
899,6742,fingerprint
900,6742,accelerometer
901,6742,gyro
902,6742,compass
903,6742,barometer
904,6741,fingerprint
905,6741,accelerometer
906,6741,gyro
907,6741,compass
908,6665,fingerprint
909,6665,accelerometer
910,6665,gyro
911,6665,proximity
912,6665,compass
913,6665,barometer
914,6378,fingerprint
915,6378,accelerometer
916,6378,gyro
917,6378,proximity
918,6378,compass
919,6378,barometer
920,5797,accelerometer
921,5797,gyro
922,5797,compass
923,5735,accelerometer
924,5735,gyro
925,5735,compass
926,5685,fingerprint
927,5685,accelerometer
928,5685,gyro
929,5685,proximity
930,5685,compass
931,5690,accelerometer
932,5690,gyro
933,5690,proximity
934,5690,compass
935,5070,accelerometer
936,5070,gyro
937,5070,compass
938,5061,accelerometer
939,5061,gyro
940,5061,compass
941,5072,accelerometer
942,5072,gyro
943,5072,compass
944,5071,accelerometer
945,5071,gyro
946,5071,compass
947,4910,accelerometer
948,4910,gyro
949,4910,proximity
950,4910,compass
951,4620,accelerometer
952,4620,gyro
953,4620,compass
954,4621,accelerometer
955,4621,gyro
956,4621,compass
957,4212,accelerometer
958,4212,gyro
959,4212,proximity
960,4212,compass
961,3848,accelerometer
962,3848,gyro
963,3848,compass
964,3847,accelerometer
965,3847,gyro
966,3847,compass
967,3849,accelerometer
968,3849,gyro
969,3849,compass
970,3275,accelerometer
971,3275,gyro
972,3275,proximity
973,3275,compass
974,3716,accelerometer
975,3716,gyro
976,3716,proximity
977,3716,compass
978,3827,accelerometer
979,3827,compass
980,3828,accelerometer
981,12746,fingerprint
982,12746,accelerometer
983,12746,gyro
984,12746,proximity
985,12746,compass
986,12780,fingerprint
987,12780,accelerometer
988,12780,gyro
989,12780,proximity
990,12780,compass
991,12380,fingerprint
992,12380,accelerometer
993,12380,gyro
994,12380,proximity
995,12380,compass
996,12224,fingerprint
997,12224,accelerometer
998,12224,gyro
999,12224,proximity
1000,12224,compass
1001,12223,fingerprint
1002,12223,accelerometer
1003,12223,gyro
1004,12223,proximity
1005,12223,compass
1006,11880,fingerprint
1007,11880,accelerometer
1008,11880,gyro
1009,11880,proximity
1010,11880,compass
1011,11881,fingerprint
1012,11881,accelerometer
1013,11881,gyro
1014,11881,proximity
1015,11881,compass
1016,11986,fingerprint
1017,11986,accelerometer
1018,11986,gyro
1019,11986,proximity
1020,11986,compass
1021,11882,fingerprint
1022,11882,accelerometer
1023,11882,gyro
1024,11882,proximity
1025,11882,compass
1026,11656,fingerprint
1027,11656,accelerometer
1028,11656,gyro
1029,11656,proximity
1030,11656,compass
1031,11648,fingerprint
1032,11648,accelerometer
1033,11648,gyro
1034,11648,proximity
1035,11648,compass
1036,11647,fingerprint
1037,11647,accelerometer
1038,11647,gyro
1039,11647,proximity
1040,11647,compass
1041,11053,fingerprint
1042,11053,accelerometer
1043,11053,gyro
1044,11053,proximity
1045,11053,compass
1046,11054,fingerprint
1047,11054,accelerometer
1048,11054,gyro
1049,11054,proximity
1050,11054,compass
1051,11006,fingerprint
1052,11006,accelerometer
1053,11006,gyro
1054,11006,proximity
1055,11006,compass
1056,10892,fingerprint
1057,10892,accelerometer
1058,10892,gyro
1059,10892,proximity
1060,10892,compass
1061,10893,fingerprint
1062,10893,accelerometer
1063,10893,gyro
1064,10893,proximity
1065,10893,compass
1066,10785,fingerprint
1067,10785,accelerometer
1068,10785,gyro
1069,10785,proximity
1070,10785,compass
1071,10784,fingerprint
1072,10784,accelerometer
1073,10784,gyro
1074,10784,proximity
1075,10784,compass
1076,10715,fingerprint
1077,10715,accelerometer
1078,10715,gyro
1079,10715,proximity
1080,10715,compass
1081,10393,fingerprint
1082,10393,accelerometer
1083,10393,gyro
1084,10393,proximity
1085,10393,compass
1086,10379,fingerprint
1087,10379,accelerometer
1088,10379,gyro
1089,10379,proximity
1090,10379,compass
1091,10296,fingerprint
1092,10296,accelerometer
1093,10296,gyro
1094,10296,proximity
1095,10296,compass
1096,10328,fingerprint
1097,10328,accelerometer
1098,10328,gyro
1099,10328,proximity
1100,10328,compass
1101,9770,fingerprint
1102,9770,accelerometer
1103,9770,gyro
1104,9770,proximity
1105,9770,compass
1106,9698,fingerprint
1107,9698,accelerometer
1108,9698,gyro
1109,9698,proximity
1110,9698,compass
1111,9667,accelerometer
1112,9667,gyro
1113,9667,proximity
1114,9667,compass
1115,9634,fingerprint
1116,9634,accelerometer
1117,9634,gyro
1118,9634,proximity
1119,9633,fingerprint
1120,9633,accelerometer
1121,9633,gyro
1122,9633,proximity
1123,9410,fingerprint
1124,9410,accelerometer
1125,9410,gyro
1126,9410,proximity
1127,9410,compass
1128,9437,fingerprint
1129,9437,accelerometer
1130,9437,gyro
1131,9437,proximity
1132,9437,compass
1133,9373,fingerprint
1134,9373,accelerometer
1135,9373,proximity
1136,9373,compass
1137,9372,accelerometer
1138,9372,proximity
1139,9372,compass
1140,9224,fingerprint
1141,9224,accelerometer
1142,9224,gyro
1143,9224,proximity
1144,9224,compass
1145,9194,accelerometer
1146,9194,gyro
1147,9194,proximity
1148,9194,compass
1149,9173,fingerprint
1150,9173,accelerometer
1151,9173,proximity
1152,9173,compass
1153,9173,gyro
1154,9173,ambient sensor
1155,9096,fingerprint
1156,9096,accelerometer
1157,9096,gyro
1158,9096,proximity
1159,9096,compass
1160,9061,fingerprint
1161,9061,accelerometer
1162,9061,gyro
1163,9061,proximity
1164,9061,compass
1165,9068,fingerprint
1166,9068,accelerometer
1167,9068,gyro
1168,9068,proximity
1169,9068,compass
1170,9097,fingerprint
1171,9097,accelerometer
1172,9097,proximity
1173,9097,compass
1174,8953,fingerprint
1175,8953,accelerometer
1176,8953,gyro
1177,8953,proximity
1178,8953,compass
1179,8866,fingerprint
1180,8866,accelerometer
1181,8866,gyro
1182,8866,proximity
1183,8866,compass
1184,8783,fingerprint
1185,8783,accelerometer
1186,8783,gyro
1187,8783,proximity
1188,8783,compass
1189,8783,color spectrum
1190,8782,fingerprint
1191,8782,accelerometer
1192,8782,gyro
1193,8782,proximity
1194,8782,compass
1195,8892,fingerprint
1196,8892,accelerometer
1197,8892,gyro
1198,8892,proximity
1199,8892,compass
1200,8862,fingerprint
1201,8862,accelerometer
1202,8862,gyro
1203,8862,proximity
1204,8862,compass
1205,8808,fingerprint
1206,8808,accelerometer
1207,8808,gyro
1208,8808,proximity
1209,8808,compass
1210,8784,fingerprint
1211,8784,accelerometer
1212,8784,gyro
1213,8784,proximity
1214,8784,compass
1215,8811,fingerprint
1216,8811,accelerometer
1217,8811,gyro
1218,8811,proximity
1219,8811,compass
1220,8814,fingerprint
1221,8814,accelerometer
1222,8814,gyro
1223,8814,proximity
1224,8814,compass
1225,8810,fingerprint
1226,8810,accelerometer
1227,8810,gyro
1228,8810,proximity
1229,8810,compass
1230,8749,fingerprint
1231,8749,accelerometer
1232,8749,gyro
1233,8749,proximity
1234,8749,compass
1235,8801,accelerometer
1236,8801,gyro
1237,8801,proximity
1238,8801,compass
1239,8711,
1240,8681,accelerometer
1241,8681,proximity
1242,8681,compass
1243,8579,accelerometer
1244,8579,proximity
1245,8579,compass
1246,8550,fingerprint
1247,8550,accelerometer
1248,8550,gyro
1249,8550,proximity
1250,8550,compass
1251,8543,accelerometer
1252,8543,gyro
1253,8543,proximity
1254,8543,compass
1255,8502,fingerprint
1256,8502,accelerometer
1257,8502,gyro
1258,8502,proximity
1259,8502,compass
1260,8502,barometer
1261,8509,fingerprint
1262,8509,accelerometer
1263,8509,gyro
1264,8509,proximity
1265,8509,compass
1266,8503,accelerometer
1267,8503,proximity
1268,8503,compass
1269,8493,accelerometer
1270,8493,gyro
1271,8493,proximity
1272,8493,compass
1273,8467,accelerometer
1274,8467,proximity
1275,8467,compass
1276,8425,fingerprint
1277,8425,accelerometer
1278,8425,gyro
1279,8425,proximity
1280,8425,compass
1281,8384,fingerprint
1282,8384,accelerometer
1283,8384,gyro
1284,8384,proximity
1285,8384,compass
1286,8370,accelerometer
1287,8370,gyro
1288,8370,proximity
1289,8370,compass
1290,8271,accelerometer
1291,8271,gyro
1292,8218,fingerprint
1293,8218,accelerometer
1294,8218,gyro
1295,8218,proximity
1296,8218,compass
1297,8207,fingerprint
1298,8207,accelerometer
1299,8207,proximity
1300,8207,compass
1301,8206,fingerprint
1302,8206,accelerometer
1303,8206,gyro
1304,8206,proximity
1305,8206,compass
1306,8197,fingerprint
1307,8197,accelerometer
1308,8197,gyro
1309,8197,proximity
1310,8197,compass
1311,8156,fingerprint
1312,8156,accelerometer
1313,8156,proximity
1314,8156,compass
1315,8160,
1316,8130,fingerprint
1317,8130,accelerometer
1318,8130,gyro
1319,8130,proximity
1320,8130,compass
1321,8129,fingerprint
1322,8129,accelerometer
1323,8129,gyro
1324,8129,proximity
1325,8129,compass
1326,8106,fingerprint
1327,8106,accelerometer
1328,8106,gyro
1329,8106,proximity
1330,8106,compass
1331,8111,accelerometer
1332,8111,proximity
1333,8111,compass
1334,8262,accelerometer
1335,8262,proximity
1336,8262,compass
1337,8097,accelerometer
1338,8097,proximity
1339,8097,compass
1340,8095,accelerometer
1341,8095,proximity
1342,8045,accelerometer
1343,8045,proximity
1344,8048,accelerometer
1345,8048,proximity
1346,8048,compass
1347,7866,accelerometer
1348,7866,proximity
1349,7689,accelerometer
1350,7690,accelerometer
1351,7688,accelerometer
1352,7733,accelerometer
1353,7733,gyro
1354,7733,proximity
1355,7733,compass
1356,7577,accelerometer
1357,7577,gyro
1358,7577,proximity
1359,7577,compass
1360,8474,accelerometer
1361,8474,compass
1362,8465,accelerometer
1363,8465,compass
1364,7532,accelerometer
1365,7532,compass
1366,7368,accelerometer
1367,7368,proximity
1368,7368,compass
1369,7476,accelerometer
1370,7476,proximity
1371,7476,compass
1372,7475,accelerometer
1373,7475,gyro
1374,7475,proximity
1375,7475,compass
1376,7479,accelerometer
1377,7479,gyro
1378,7479,proximity
1379,7479,compass
1380,7757,accelerometer
1381,7757,gyro
1382,7757,proximity
1383,7757,compass
1384,7477,accelerometer
1385,7477,gyro
1386,7477,proximity
1387,7477,compass
1388,7478,accelerometer
1389,7478,compass
1390,7474,accelerometer
1391,7474,proximity
1392,7474,compass
1393,7473,accelerometer
1394,7473,proximity
1395,7473,compass
1396,7444,accelerometer
1397,7444,proximity
1398,7444,compass
1399,7378,accelerometer
1400,7378,gyro
1401,7378,proximity
1402,7378,compass
1403,7367,accelerometer
1404,7367,compass
1405,7366,accelerometer
1406,7366,compass
1407,7255,accelerometer
1408,7255,proximity
1409,7255,compass
1410,7365,accelerometer
1411,7365,compass
1412,7364,accelerometer
1413,7256,accelerometer
1414,7261,accelerometer
1415,7261,gyro
1416,7261,proximity
1417,7261,compass
1418,7044,accelerometer
1419,7044,proximity
1420,7044,compass
1421,7120,accelerometer
1422,7120,proximity
1423,7120,compass
1424,6917,accelerometer
1425,6917,gyro
1426,6917,proximity
1427,6917,compass
1428,7045,accelerometer
1429,7045,proximity
1430,7045,compass
1431,6982,accelerometer
1432,6982,proximity
1433,6953,accelerometer
1434,6918,accelerometer
1435,6918,gyro
1436,6918,proximity
1437,6918,compass
1438,6897,accelerometer
1439,6897,proximity
1440,6897,compass
1441,6813,accelerometer
1442,6813,proximity
1443,6813,compass
1444,6751,accelerometer
1445,6751,compass
1446,6737,accelerometer
1447,6737,proximity
1448,6630,accelerometer
1449,6630,gyro
1450,6630,compass
1451,6629,accelerometer
1452,6629,gyro
1453,6629,compass
1454,6429,accelerometer
1455,6429,proximity
1456,6429,compass
1457,6428,accelerometer
1458,6428,proximity
1459,6428,compass
1460,6414,accelerometer
1461,6414,gyro
1462,6414,compass
1463,6413,accelerometer
1464,6412,accelerometer
1465,6412,compass
1466,6411,accelerometer
1467,6411,proximity
1468,6411,compass
1469,6747,accelerometer
1470,6747,proximity
1471,6747,compass
1472,6410,accelerometer
1473,6410,proximity
1474,6410,compass
1475,6407,accelerometer
1476,6407,gyro
1477,6407,compass
