,Device ID,Sound
311,5691,Loudspeaker
312,5680,Jack
313,5680,Loudspeaker
314,5671,Jack
315,5671,Loudspeaker
316,5672,Jack
317,5672,Loudspeaker
318,5668,Jack
319,5668,Loudspeaker
320,5669,Jack
321,5669,Loudspeaker
322,5449,Jack
323,5449,Loudspeaker
324,5335,Jack
325,5335,Loudspeaker
326,5681,Jack
327,5681,Loudspeaker
328,5334,Jack
329,5334,Loudspeaker
330,5318,Jack
331,5318,Loudspeaker
332,5319,Jack
333,5319,Loudspeaker
334,5296,Jack
335,5296,Loudspeaker
336,5332,Jack
337,5332,Loudspeaker
338,5236,0.0
339,5236,Loudspeaker
340,5235,0.0
341,5235,Loudspeaker
342,5234,Jack
343,5234,Loudspeaker
344,5233,Jack
345,5233,Loudspeaker
346,5232,Jack
347,5232,Loudspeaker
348,5231,0.0
349,5231,Loudspeaker
350,5230,Jack
351,5230,Loudspeaker
352,5229,Jack
353,5229,Loudspeaker
354,5228,Jack
355,5228,Loudspeaker
356,5242,Jack
357,5242,Loudspeaker
358,5227,nan
359,5227,nan
360,5226,Jack
361,5226,Loudspeaker
362,5225,Jack
363,5225,Loudspeaker
364,5218,Jack
365,5218,Loudspeaker
366,5139,Jack
367,5139,Loudspeaker
368,5110,Jack
369,5110,Loudspeaker
370,5165,Jack
371,5165,Loudspeaker
372,5866,Jack
373,5866,Loudspeaker
374,5103,Jack
375,5103,Loudspeaker
376,5080,Jack
377,5080,Loudspeaker
378,4846,Jack
379,4846,Loudspeaker
380,4845,Jack
381,4845,Loudspeaker
382,4844,Jack
383,4844,Loudspeaker
384,4843,Jack
385,4843,Loudspeaker
386,4842,Jack
387,4842,Loudspeaker
388,4780,Jack
389,4780,Loudspeaker
390,4733,Jack
391,4733,Loudspeaker
392,4732,Jack
393,4732,Loudspeaker
394,4731,Jack
395,4731,Loudspeaker
396,4730,Jack
397,4730,Loudspeaker
398,4920,0.0
399,4920,Loudspeaker
400,4729,Jack
401,4729,Loudspeaker
402,4728,Jack
403,4728,Loudspeaker
404,4727,Jack
405,4727,Loudspeaker
406,4726,0.0
407,4726,Loudspeaker
408,4725,Jack
409,4725,Loudspeaker
410,4724,Jack
411,4724,Loudspeaker
412,4723,Jack
413,4723,Loudspeaker
414,4722,0.0
415,4722,Loudspeaker
416,4721,0.0
417,4721,Loudspeaker
418,4720,0.0
419,4720,Loudspeaker
420,4663,Jack
421,4663,Loudspeaker
422,4549,Jack
423,4549,Loudspeaker
424,4922,Jack
425,4922,Loudspeaker
426,4321,Jack
427,4321,Loudspeaker
428,4308,Jack
429,4308,Loudspeaker
430,4661,Jack
431,4661,Loudspeaker
432,3799,Jack
433,3799,Loudspeaker
434,3798,Jack
435,3798,Loudspeaker
436,4629,Jack
437,4629,Loudspeaker
438,3797,Jack
439,3797,Loudspeaker
440,3796,Jack
441,3796,Loudspeaker
442,3795,Jack
443,3795,Loudspeaker
444,3822,Jack
445,3822,Loudspeaker
446,4659,Jack
447,4659,Loudspeaker
448,4528,Jack
449,4528,Loudspeaker
450,4104,Jack
451,4104,Loudspeaker
452,3793,Jack
453,3793,Loudspeaker
454,3794,Jack
455,3794,Loudspeaker
456,3800,Jack
457,3800,Loudspeaker
458,4628,Jack
459,4628,Loudspeaker
460,4103,Jack
461,4103,Loudspeaker
462,3824,Jack
463,3824,Loudspeaker
464,3801,Jack
465,3801,Loudspeaker
466,3802,0.0
467,3802,Loudspeaker
468,3803,Jack
469,3803,Loudspeaker
470,3804,Jack
471,3804,Loudspeaker
472,3805,Jack
473,3805,Loudspeaker
474,3806,Jack
475,3806,Loudspeaker
476,3807,Jack
477,3807,Loudspeaker
478,3808,Jack
479,3808,Loudspeaker
480,3809,Jack
481,3809,Loudspeaker
482,3810,Jack
483,3810,Loudspeaker
484,3811,Jack
485,3811,Loudspeaker
486,3812,0.0
487,3812,Loudspeaker
488,3813,0.0
489,3813,Loudspeaker
490,3814,0.0
491,3814,Loudspeaker
492,3815,0.0
493,3815,Loudspeaker
494,3816,0.0
495,3816,Loudspeaker
496,3817,0.0
497,3817,Loudspeaker
498,3818,0.0
499,3818,Loudspeaker
500,3819,0.0
501,3819,Loudspeaker
502,3820,0.0
503,3820,Loudspeaker
504,3821,0.0
505,3821,Loudspeaker
506,3823,Jack
507,3823,Loudspeaker
508,3407,0.0
509,3407,Loudspeaker
510,3186,0.0
511,3186,Loudspeaker
512,3184,Jack
513,3184,Loudspeaker
514,3182,0.0
515,3182,Loudspeaker
