,Device ID,Name,Version
1895,5850,Android,4.2.2
1896,5849,,
1897,5385,Android,4.2.1
1898,5354,Android,4.2.2
1899,6196,Android,4.2.2
1900,6197,Android,4.2.2
1901,6198,Android,4.2.2
1902,5353,Android,4.1
1903,5352,Android,4.1
1904,5241,Android,4.2
1905,5244,Android,4.1
1906,5247,Android,4.0.3
1907,5463,Android,4.2.1
1908,5462,Android,4.1.2
1909,5245,Android,4.0.4
1910,5333,Android,4.0.4
1911,5246,Android,2.3.6
1912,5243,Android,4.0.4
1913,5140,Android,4.1
1914,5095,Android,2.3.6
1915,5094,Android,4.0
1916,5060,Android,4.0
1917,4985,Android,4.0.4
1918,4956,Android,4.0.4
1919,4911,Android,4.0.4
1920,4912,Android,2.3.5
1921,4864,,
1922,4863,,
1923,4862,,
1924,4861,,
1925,4860,,
1926,4859,,
1927,4858,,
1928,4424,Android,2.3.4
1929,4711,Android,2.3.5
1930,4445,Android,2.3.7
1931,4423,,
1932,4441,Android,2.3
1933,4440,Android,2.3
1934,4439,Android,2.3
1935,4442,Android,2.3
1936,4443,Android,3.1
1937,4444,Android,3.1
1938,10185,,
1939,7968,,
1940,7008,,
1941,11751,Android,12
1942,10742,Android,10
1943,10743,Android,10
1944,10744,Android,10
1945,10585,Android,10
1946,10586,Android,10
1947,10587,Android,10
1948,10564,Android,10
1949,10464,Android,10
1950,10558,Android,10
1951,10463,Android,10
1952,10459,Android,10
1953,10458,Android,10
1954,10442,Android,10
1955,10597,Android,10
1956,10368,Android,10
1957,10451,Android,10
1958,10382,Android,10
1959,10378,Android,10
1960,10257,Android,9.0
1961,10255,Android,10
1962,10340,Android,10
1963,10209,Android,10
1964,10186,,
1965,10256,Android,10
1966,10103,Android,10
1967,10102,Android,10
1968,10090,Android,9.0
1969,10088,Android,9.0
1970,10087,Android,9.0
1971,10086,Android,9.0
1972,9952,Android,9.0
1973,9906,Android,9.0
1974,9844,Android,9.0
1975,9815,Android,9.0
1976,9827,Android,9.0
1977,9828,Android,9.0
1978,9805,Android,9.0
1979,9804,Android,9.0
1980,9753,Android,9.0
1981,9752,Android,9.0
1982,9751,Android,9.0
1983,9758,Android,9.0
1984,9607,Android,9.0
1985,9608,Android,9.0
1986,9540,Android,9.0
1987,9585,Android,9.0
1988,9586,Android,9.0
1989,9587,Android,8.1
1990,9411,Android,8.1
1991,9300,Android,8.1
1992,9355,Android,2.0
